CustomerID,Highest_Qunatity,Lowest_Qunatity
2,5,1
3,24,24
4,25,15
5,30,8
7,60,5
8,50,16
9,50,12
10,50,9
11,30,9
13,10,1
14,30,15
15,20,10
16,12,10
17,20,12
18,7,6
19,35,5
20,80,5
21,50,4
23,35,6
24,50,6
25,70,15
27,2,2
28,40,9
29,7,5
30,40,15
31,20,14
33,10,4
34,42,10
35,70,6
36,20,2
37,80,2
38,30,6
39,40,4
41,40,6
44,50,4
46,50,3
47,50,50
48,20,3
49,40,6
51,70,6
52,20,12
54,12,12
55,50,15
56,30,15
58,20,4
59,50,12
60,28,10
61,30,2
62,70,2
63,100,9
65,70,2
66,20,3
67,40,15
68,60,20
69,10,1
70,15,6
71,120,7
72,80,15
73,50,2
75,40,8
76,40,12
77,10,5
79,20,15
80,30,2
81,40,9
83,60,7
84,20,6
85,20,4
86,30,4
87,40,10
88,20,2
89,70,20
90,12,5
91,30,15
