City,No_of_Cities
Berlin,1
"México D.F.",5
London,6
Luleå,1
Mannheim,1
Strasbourg,1
Madrid,3
Marseille,1
Tsawassen,1
"Buenos Aires",3
Bern,1
"São Paulo",4
Aachen,1
Nantes,2
Graz,1
Lille,1
Bräcke,1
München,1
Torino,1
Lisboa,2
Barcelona,1
Sevilla,1
Campinas,1
Eugene,1
Caracas,1
"Rio de Janeiro",3
"San Cristóbal",1
Elgin,1
Cork,1
Cowes,1
Brandenburg,1
Versailles,1
Toulouse,1
Vancouver,1
"Walla Walla",1
"Frankfurt a.M.",1
"San Francisco",1
Barquisimeto,1
"I. de Margarita",1
Portland,2
Bergamo,1
Bruxelles,1
Montréal,1
Leipzig,1
Anchorage,1
Köln,1
Paris,2
Salzburg,1
Cunewalde,1
Albuquerque,1
"Reggio Emilia",1
Genève,1
Stavern,1
Boise,1
København,1
Lander,1
Charleroi,1
Butte,1
Münster,1
Kirkland,1
Århus,1
Lyon,1
Reims,1
Stuttgart,1
Oulu,1
Resende,1
Seattle,1
Helsinki,1
Walla,1
